"news_id","tweet_id","quote_id"
"573","1253708932499070977","1253713088064487430"
"573","1253754279648563201","1253755978912198656"
"573","1253755978912198656","1253759923906740224"
"573","1253790619086061571","1253791022489968642"
"573","1253800268300455936","1253800682005676032"
"573","1253800268300455936","1253800751358410752"
"573","1253800268300455936","1253801085526917120"
"573","1253800268300455936","1253801153609031687"
"573","1253800268300455936","1253801173934657538"
"573","1253800268300455936","1253801865868959752"
"573","1253800268300455936","1253802813148274689"
"573","1253800268300455936","1253803812705284097"
"573","1253800268300455936","1253806205882953728"
"573","1253800268300455936","1253808343673483265"
"573","1253800268300455936","1253813498066411520"
"573","1253800268300455936","1253814053119631363"
"573","1253800268300455936","1253897655735984128"
"573","1254029258244214785","1254029738718437377"
"573","1254055092648644608","1254059112490467340"
"573","1254055092648644608","1254060291069030402"
"573","1254055092648644608","1254375970322051075"
"573","1254071800696377346","1254072185687363585"
"573","1254441293087981574","1254580863930642432"
"573","1254441293087981574","1254634298335952897"
"573","1254441293087981574","1254773082616553474"
"573","1254443611850190849","1254443746675965952"
"573","1254443611850190849","1254443842134147072"
"573","1254443611850190849","1254482932695212032"
"573","1254450944873562120","1254482532730580999"
"573","1254450944873562120","1254482579690008577"
"573","1254720841440526336","1254796967445757952"
"573","1254720841440526336","1254800777333411841"
"573","1254734831340183552","1254735581172715521"
"573","1254734831340183552","1254749099364159488"
"573","1254734831340183552","1254759941803577345"
"573","1254734831340183552","1254788288595980289"
"573","1254734831340183552","1254828757594054664"
"573","1254734831340183552","1254830676215554049"
"573","1254734831340183552","1254838303309721600"
"573","1254734831340183552","1254863832788299776"
"573","1254734831340183552","1255450809296396288"
"573","1254774500878499840","1254818336866799616"
"573","1254782552667066369","1254783530552311814"
"573","1254782552667066369","1254787194524364801"
"573","1254792017508331523","1254799408971087873"
"573","1254830676215554049","1254830976292786176"
"573","1254830676215554049","1254831012011442179"
"573","1254830676215554049","1254831048506183681"
"573","1254830676215554049","1254831154995363846"
"573","1254830676215554049","1254831474953633793"
"573","1254830676215554049","1254832315223556096"
"573","1254830676215554049","1254832442856349696"
"573","1254830676215554049","1254833048849440768"
"573","1254830676215554049","1254833723633254402"
"573","1254830676215554049","1254834200076783617"
"573","1254830676215554049","1254838594868523010"
"573","1254830676215554049","1254852005903949825"
"573","1254830676215554049","1254854371310833664"
"573","1254830676215554049","1255449908854902785"
"573","1254835265123860482","1254836013773488128"
"573","1254886970242863111","1254887939940552704"
"573","1254886970242863111","1254888276823072789"
"573","1254886970242863111","1254888462450384897"
"573","1254886970242863111","1254888598337286145"
"573","1254886970242863111","1254889064668463104"
"573","1254886970242863111","1254889106007642112"
"573","1254886970242863111","1254889281040134145"
"573","1254886970242863111","1254889367765647364"
"573","1254886970242863111","1254889742010912768"
"573","1254886970242863111","1254890674509545474"
"573","1254886970242863111","1254890685272150016"
"573","1254886970242863111","1254891185136644096"
"573","1254886970242863111","1254892029013889030"
"573","1254886970242863111","1254892283008290816"
"573","1254886970242863111","1254898073915949056"
"573","1254889106007642112","1254893731297103872"
"573","1254891520223670272","1254912805532168197"
"573","1255060434505347072","1255075923445112832"
"573","1255060434505347072","1255087815076884481"
"573","1255100344549376002","1255128143351869440"
"573","1255100344549376002","1255142557119467522"
"573","1255100344549376002","1255182281314099200"
"573","1255100344549376002","1255202945555021824"
"573","1255100344549376002","1255221268049166336"
"573","1255100344549376002","1255448113323692033"
"573","1255458081644982272","1255459525429166085"
"573","1255458081644982272","1255476744058003457"
"573","1255458081644982272","1255589940454400003"
"573","1255458081644982272","1255610589067575301"
"573","1255521292096278528","1255533469746282496"
"573","1255589940454400003","1255591054528651266"
"573","1255821464093298690","1256235350105772037"
"573","1256151758511972352","1256174805440700417"
"573","1256185384050065408","1256191643310387207"
"573","1256185384050065408","1256316161735696390"
"573","1256185384050065408","1256852777751375872"
"573","1256316161735696390","1256850280676601856"
"579","1244632164848873472","1244638215996354561"
"596","1254372655865757697","1254373466163359750"
"596","1254372655865757697","1254382131331072001"
"596","1254372655865757697","1254383575178321921"
"596","1254383575178321921","1254416004605763584"
"598","1251382482857070597","1251392324137111553"
"598","1251382482857070597","1251873491034521600"
"25","1248011067143290882","1248011309435609088"
"25","1249534887691984897","1249681917919793153"
"25","1249534887691984897","1250153823332700160"
"25","1249534887691984897","1250350561926320134"
"25","1249631899376668672","1249636942804742144"
"25","1250145028007170048","1250149303886262291"
"603","1253258636106911744","1253269174337617920"
"609","1252384848410325002","1252603738604347395"
"609","1252760029897412611","1252969194066456577"
"609","1252760029897412611","1252971994208968704"
"609","1252760029897412611","1253079806029242368"
"609","1252760029897412611","1253132392321167363"
"609","1252760029897412611","1254077435412389888"
"609","1252760029897412611","1254090476786987009"
"609","1252760029897412611","1254584040302301184"
"609","1253310531924000768","1253318418318520320"
"36","1249754108107485189","1249755637954854912"
"36","1249754108107485189","1249757725921345536"
"36","1249754108107485189","1249766799794716672"
"36","1249754108107485189","1249778849770070016"
"36","1249754108107485189","1249788734767316994"
"36","1249755471080239106","1249759408265060354"
"36","1249755471080239106","1249762165029994505"
"36","1249755471080239106","1249772083174932480"
"36","1249755471080239106","1249776107290857476"
"36","1249755471080239106","1249785858124701697"
"36","1249803379754369027","1249805380449906691"
"36","1249835439927762945","1249840673416777732"
"36","1250053681665507330","1250055266093207553"
"36","1250053681665507330","1250056677614911489"
"611","1255006389191278592","1255011205325959168"
"613","1251371912946749440","1251632018120511489"
"613","1255891419052589058","1255933351921217538"
"614","1252975950037467136","1252981298429190147"
"614","1252975950037467136","1253078427067797504"
"614","1256123711943475202","1256124992670089216"
"614","1256123711943475202","1256227280222814211"
"614","1256123711943475202","1331461749481103360"
"617","1244632164848873472","1244638215996354561"
"44","1249375554723131392","1249375895904817154"
"44","1249376066566848513","1249524512233861122"
"44","1249384514343686148","1249835395983892480"
"44","1249384514343686148","1249886931497955330"
"44","1249385096760745990","1249566539390607360"
"44","1249385096760745990","1249722365958918144"
"44","1249386443232800769","1249407695259611139"
"44","1249389913067229184","1249391623026479104"
"44","1249398900521226240","1249430543697088512"
"44","1249398900521226240","1249431319463047169"
"44","1249398900521226240","1249437891140423684"
"44","1249398900521226240","1249468682851495939"
"44","1249398900521226240","1249472355707113472"
"44","1249398900521226240","1249475225151995904"
"44","1249398900521226240","1249484742644260864"
"44","1249399891761168391","1249403181265813504"
"44","1249404397723029507","1249409692163604480"
"44","1249410546463539200","1249411545832009729"
"44","1249410546463539200","1249417128450699264"
"44","1249410546463539200","1249426047965319169"
"44","1249410546463539200","1249427411130777600"
"44","1249410546463539200","1249443884838641673"
"44","1249410546463539200","1249452138624880647"
"44","1249410546463539200","1249454628435091458"
"44","1249414352848986115","1249506330731253761"
"44","1249429076995198976","1249431297119924225"
"44","1249430114141712384","1249430645442404352"
"44","1249430889542479872","1249448727015763970"
"44","1249430889542479872","1249450751728013314"
"44","1249430889542479872","1249501850459660289"
"44","1249430889542479872","1249788316062330882"
"44","1249430889542479872","1249789960061947905"
"44","1249430889542479872","1249829002572959746"
"44","1249438205725851652","1249438636694700033"
"44","1249440455286194179","1249442199433031680"
"44","1249442157762502656","1249442378911449090"
"44","1249442847016677376","1249452477239513105"
"44","1249445156727803904","1249448346646913024"
"44","1249445156727803904","1249597312109654016"
"44","1249472355707113472","1249480726082244608"
"44","1249485287069286405","1249487079727194112"
"44","1249523741295620096","1249524926077374466"
"44","1249652380179861504","1249660577435222017"
"44","1249668627638484995","1249670188049534978"
"44","1249668627638484995","1249670835297595392"
"44","1249676775396868097","1249682525158547456"
"44","1249718892320227330","1249745939041906688"
"44","1249752872889331716","1249753466622349313"
"44","1249752872889331716","1249756239199973378"
"44","1249752872889331716","1249756488740081664"
"44","1249752872889331716","1249757486812299266"
"44","1249752872889331716","1249761517379022849"
"44","1249752872889331716","1249763848032096256"
"44","1249752872889331716","1249767097913278464"
"44","1249752872889331716","1249772800241471488"
"44","1249752872889331716","1249778098498871297"
"44","1249752872889331716","1249781981694566401"
"44","1249752872889331716","1249809304619601921"
"44","1249752872889331716","1249880835454652418"
"44","1249756239199973378","1249760386938802188"
"44","1249762167991209984","1249766137342111749"
"44","1249809304619601921","1249817301488218112"
"44","1249809304619601921","1249818243721760784"
"44","1249901754004602880","1249923124168216576"
"44","1250526232808009730","1250526386835480576"
"44","1250526232808009730","1250529240816074752"
"621","1253661655910604801","1253662670458220546"
"622","1255444232992669696","1255445528067923970"
"622","1255444232992669696","1255671816258912257"
"623","1255111662908190721","1255126189284503553"
"626","1251996508305711104","1252131511329054720"
"53","1249367400425848832","1249369875597930499"
"53","1249367400425848832","1249396256977256448"
"53","1249367400425848832","1249397136602456064"
"53","1249367400425848832","1249397398914260993"
"53","1249367400425848832","1249488100935569409"
"53","1249367400425848832","1249546401563828227"
"53","1249367400425848832","1249925761982763008"
"53","1249477334543093766","1249478482243006467"
"53","1249477334543093766","1249481653250076672"
"53","1249477334543093766","1249509648731901952"
"53","1249477334543093766","1249600789179510791"
"53","1249477334543093766","1249600963519840260"
"53","1249477334543093766","1249603011120443393"
"53","1249477334543093766","1249603101142724608"
"53","1249477334543093766","1249606385731547140"
"53","1249477334543093766","1249614527106252801"
"53","1249477334543093766","1249624652223135744"
"53","1249477334543093766","1249673159760109568"
"53","1249477334543093766","1249678131922964481"
"53","1249477334543093766","1249736964183654401"
"53","1249478482243006467","1249482443968503808"
"53","1250070553710469122","1250077857826684928"
"53","1250109734578827264","1250110409136193536"
"53","1250109734578827264","1250112031195201538"
"53","1250143997089255424","1250476997123420161"
"53","1254390256461365248","1254391039349133312"
"630","1251744839735160833","1251755424245833729"
"630","1251744839735160833","1268972228340862978"
"630","1251744839735160833","1307071777978437633"
"630","1251744839735160833","1330930494150590467"
"630","1253326219765932033","1253410973488017413"
"633","1247883174262140928","1247952908211159040"
"635","1250525082499215360","1250547846371250178"
"635","1250525082499215360","1250885329277661185"
"63","1248233292052271106","1248234815343689734"
"63","1248238300369948674","1248242411794464768"
"63","1248240653256949765","1248258942368612352"
"63","1248240653256949765","1248332583257112580"
"63","1248250569296248838","1248251621479297024"
"63","1248250569296248838","1248258749271244802"
"63","1248259563746451458","1248261449790652417"
"63","1248259967360139265","1248272407204429824"
"63","1248270067118288902","1248272413168730112"
"63","1248272407204429824","1248298040894652416"
"63","1248283454694981633","1248378564195434500"
"63","1248383472831320067","1248384360593543170"
"63","1248393014646456320","1248461858350063623"
"63","1248393014646456320","1248758783196770304"
"63","1248424503081717767","1248588049279332352"
"63","1248609968095281160","1248629194705309697"
"63","1249110690960297990","1249118421628977154"
